Gangguan Ketenteraman dan KetertibanJalan,1582
Parkir liar,5557
Pencemaran lingkungan,1268
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,114
Jaringan Listrik,909
Reklame,2026
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),161
Trotoar,1887
Pohon,1414
Perizinan Bidang Kesehatan,3030
Pelayanan Perhubungan,14
Jaringan Air Bersih,699
Saluran Air(Kali/Sungai),84
Perizinan Bidang Tenaga Kerja       ,820
Tutup Saluran,6
Lokasi Binaan dan Lokasi Sementara  ,229
Arus Lalu Lintas,184
Perizinan Bidang Ketenteraman(Ketertiban dan Perlindungan Masyarakat),1204
Sampah,459
Sumur Resapan,713
Penataan dan Pengembangan Wilayah   ,42
Jaringan Komunikasi,58
Penanganan Banjir,282
Perizinan Bidang Pekerjaan Umum dan ,547
Penataan Ruang,266
Penyandang Masalah Kesejahteraan Sosial (PMKS),92
Industri Kecil dan Menengah,3
Perizinan Bidang Pendidikan,12
Perizinan Bidang Perumahan dan Kawasan Permukiman,52
Kurikulum dan Kegiatan Sekolah      ,11
Akta Kelahiran,13
Keluhan Pelayanan,45
Tata Ruang dan Bangunan,329
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,16
Gedung sekolah,23
Akta Perkawinan,1
Hewan Tak Berpemilik,6
Perlindungan Anak,5
Taman,165
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,21
Komunikasi Pemerintah,24
Hubungan Pekerja-Pengusaha,36
KTP Elektronik (KTP-el),9
Perizinan Bidang Penanaman Modal    ,12
Taman Pemakaman Umum (TPU),36
Penyakit Masyarakat,30
Pungutan Liar,58
Batas Wilayah,53
Bantuan Pendidikan,53
Penyelamatan,18
Sertifikat atau Dokumen Kepemilikan ,9
Demam Berdarah Dengue (DBD),16
UMKM,14
Jembatan,100
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,30
Pelayanan PM dan PTSP,6
Bantuan Sosial,235
Transportasi Publik,465
Pendataan Kesehatan,21
Puskesmas,26
RSUD,5
Ruang Publik Terpadu Ramah Anak (RPTRA),22
Perizinan Bidang KUMKMP,16
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU)      ,55
Penanganan Kebakaran,50
Imunisasi,15
Perizinan Bidang Lingkungan Hidup   ,24
Internal Dinas Pemberdayaan/Perlindungan Anak dan Pengendalian PendudukFasilitas Olahraga,3
Perizinan Bidang Kepemudaan dan Olahraga,14
Rumah Susun/Hunian Vertikal,4
Akta Kematian,14
Sembilan Bahan Pokok,2
Pajak Bumi dan Bangunan (PBB)       ,1
Pendaftaran Peserta Didik,14
Usaha Hiburan dan Rekreasi,3
Perizinan Bidang Pariwisata,10
Dokumen Administrasi Kependudukan   ,2
Penataan Permukiman (Kampung Deret/Bedah Rumah),6
Prasarana dan Sarana Penanggulangan ,21
Kebakaran,41
Perizinan Bidang Pertanahan yang menjadi kewenangan Daerah,33
Konflik Sosial,8
Sanitasi dan Keamanan Pangan        ,7
Tenaga kependidikan,4
Hewan Peliharaan,6
Perizinan Bidang Perhubungan        ,9
Tindakan Asusila,4
Kartu Keluarga (KK),10
Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),7
Ambulans Gawat Darurat,3
Perizinan Bidang Perdagangan        ,63
Tempat Wisata,9
Perizinan Bidang Kehutanan,1
Pemberdayaan Perempuan,3
Kegiatan Seni dan Budaya,1
Pelayanan Administrasi,12
Perdagangan,24
Kearsipan,3
Hubungan Kepegawaian,11
Keluarga Berencana,2
Sertifikasi Guru,1
Bahan Bakar Gas,1
Ganguan dan Sisa Proyek,9
Pemberdayaan Sosial,1
Lembaga Kemasyarakatan,5
Pembebasan lahan,19
Orang Hilang,1
Nomor Induk Kependudukan (NIK),3
Perizinan Bidang Sosial,4
Jaminan Kesehatan Nasional (JKN) berupa Kartu Indonesia Sehat (KIS)/BPJS Kesehatan,7
Statistik Daerah,1
Energi,13
Rupabumi,2
Perizinan Bidang Komunikasi dan Informatika,1
Transmigrasi,3
Satwa liar,1
Permasalahan Siswa,1
Kartu Identitas Anak (KIA),1
Pendidikan Anak Usia Dini (PAUD)    ,1
Statistik Pusat,1
Parkir Liar,1245
Jaringan Listrik,956
Tata Ruang dan Bangunan,236
Gangguan dan Kebisingan,834
Keluhan Pelayanan,238
Keluhan Fasilitas Gedung Pemda (sekolah/kantor),695
PMKS (Penyandang Masalah Kesejahteraan Sosial),53
PKL Liar,117
Perizinan,474
Jembatan/JPO/Halte,115
Reklame/Spanduk,249
Sampah,1419
Perdagangan/UMKM,26
Taman,99
Kawasan Dilarang Merokok,606
Tutup Saluran,126
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),222
Jaringan/Menara Telekomunikasi      ,93
Keluhan Galian/Sisa Proyek,59
Lokasi PKL Binaan,182
Pertanahan,25
Lembaga/Organisasi Kemasyarakatan   ,5
Pencemaran Lingkungan,105
Pelayanan Kesehatan,47
Perlengkapan Lalu Lintas,107
Satwa Liar,18
Hubungan Pekerja-Pengusaha,34
Guru/Pendidik dan Tenaga Kependidikan,11
Kegiatan dan Kurikulum Pendidikan   ,20
Fasilitasi Kerjasama/Kolaborasi Pemda DKI,37
Rusun/Hunian Vertikal,32
Hubungan Kepegawaian,9
PDAM/PAM,43
Fasilitas dan Layanan Olahraga      ,24
Pajak Bumi dan Bangunan (PBB)/BPHTB ,20
RPTRA,13
Orang Hilang,2
Layanan Administrasi Kependudukan   ,10
TPU (Tempat Pemakaman Umum),35
Demam Berdarah Dengue (DBD),7
Layanan Administrasi Kependudukan Orang Asing,4
KTP-el,10
PAUD (Pendidikan Anak Usia Dini)    ,2
Konflik Sosial,13
Perilaku Peserta Didik,1
Jak Wifi,7
Pendaftaran (PPDB) ,9
Perpustakaan dan Kearsipan,3
BPJS Kesehatan/KIS,2
Perlindungan Korban Tindak KekerasanSanitasi dan Kesehatan Pangan       ,3
Rumah Potong Hewan,1
Keluhan Bahan Pokok,1
