Gangguan Ketenteraman dan Ketertiban,6467
Jaringan Listrik,5590
Penyakit Masyarakat,51
Hewan Peliharaan,29
Jalan,16107
Trotoar,3521
Sampah,3252
Parkir liar,4207
Pencemaran lingkungan,511
Pohon,10509
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,3619
Tata Ruang dan Bangunan,1260
Taman,513
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),5536
Reklame,877
Pelayanan Perhubungan,2856
Jaringan Komunikasi,833
Penanganan Kebakaran,239
Kurikulum dan Kegiatan Sekolah,39
Perizinan Bidang Perumahan dan Kawasan Permukiman,340
Perizinan Bidang Kesehatan,100
Saluran Air(Kali/Sungai),3361
Tutup Saluran,772
Jaringan Air Bersih,852
Sumur Resapan,93
Perizinan Bidang Tenaga Kerja,36
Arus Lalu Lintas,4764
Lokasi Binaan dan Lokasi Sementara,202
Penyandang Masalah Kesejahteraan Sosial (PMKS),313
Perizinan Bidang Pekerjaan Umum dan Penataan Ruang,401
Pendataan Kesehatan,105
Perizinan Bidang Ketenteraman(Ketertiban dan Perlindungan Masyarakat),1574
Pungutan Liar,413
Perizinan Bidang Lingkungan Hidup,124
Hubungan Kepegawaian,87
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,33
Transportasi Publik,1722
Penataan dan Pengembangan Wilayah,196
Fasilitas Olahraga,117
Penyelamatan,75
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,157
Pelayanan Administrasi,77
Penanganan Banjir,3798
Industri Kecil dan Menengah,8
Perizinan Bidang Pendidikan,37
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,181
Orang Hilang,12
Puskesmas,111
Perizinan Bidang Penanaman Modal,114
RSUD,45
Akta Kelahiran,58
Hubungan Pekerja-Pengusaha,135
Keluhan Pelayanan,231
Bantuan Sosial,1071
Gedung sekolah,99
Akta Perkawinan,6
Komunikasi Pemerintah,162
Jembatan,323
Hewan Tak Berpemilik,20
Konflik Sosial,49
Perlindungan Anak,25
Permasalahan Siswa,13
Batas Wilayah,218
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian Penduduk),19
Lembaga Kemasyarakatan,32
Usaha Hiburan dan Rekreasi,23
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU),162
Ruang Publik Terpadu Ramah Anak (RPTRA),92
Pemberdayaan Perempuan,19
KTP Elektronik (KTP-el),90
Taman Pemakaman Umum (TPU),103
Pajak Bumi dan Bangunan (PBB),91
Bahan Bakar Gas,6
Dokumen Administrasi Kependudukan,99
Bantuan Pendidikan,155
Demam Berdarah Dengue (DBD),79
Rumah Susun/Hunian Vertikal,269
Sertifikat atau Dokumen Kepemilikan,62
Prasarana dan Sarana Penanggulangan Kebakaran,112
Pembebasan lahan,63
UMKM,40
Perizinan Bidang Perhubungan,51
Pelayanan PM dan PTSP,6
Ganguan dan Sisa Proyek,29
Perizinan Bidang Pertanahan yang menjadi kewenangan Daerah,137
Tenaga kependidikan,24
Penataan Permukiman (Kampung Deret/Bedah Rumah),82
Imunisasi,52
Akta Kematian,9
Perizinan Bidang Sosial,20
Perizinan Bidang KUMKMP,35
Perdagangan,60
Bahan Bakar Minyak,21
Koperasi,6
Ambulans Gawat Darurat,11
Kearsipan,20
Keluhan Lingkungan Kost,2
Sanitasi dan Keamanan Pangan,14
Pemberdayaan masyarakat,3
Pindah dan Datang Dalam DKI,1
Tempat Wisata,38
Perizinan Bidang Perdagangan,93
Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),23
Sembilan Bahan Pokok,13
Perizinan Bidang Kepemudaan dan Olahraga,22
Kartu Keluarga (KK),35
Komunikasi Publik,1
Nomor Induk Kependudukan (NIK),12
Pendaftaran Peserta Didik,16
Satwa liar,4
Perizinan Bidang Pariwisata,8
Persandian,3
Jaminan Kesehatan Nasional (JKN) berupa Kartu Indonesia Sehat (KIS)/BPJS Kesehatan,43
Statistik Daerah,4
Pengolahan Ikan,1
Dokumen Administrasi Kependudukan dan Pencatatan Sipil Orang Asing,6
Tindakan Asusila,14
Perizinan Bidang Kehutanan,3
Posyandu,2
Rupabumi,7
Kegiatan Seni dan Budaya,6
Kepemudaan,7
Rumah Potong Hewan,7
DP Rp. 0,2
Keluarga Berencana,2
Sertifikasi Guru,8
Pendidikan Anak Usia Dini (PAUD),5
Pemberdayaan Sosial,1
Perizinan Bidang Pertanian,1
Perpustakaan,3
Pengawasan,2
Energi,36
Perizinan Bidang Komunikasi dan Informatika,1
Konseling Keluarga,1
Transmigrasi,5
Pendataan Penduduk Rentan Adminduk,1
Keluhan Sarana dan Prasarana pada Gedung Pemeritahan,2
Kartu Identitas Anak (KIA),1
Perlindungan Korban Tindak Kekerasan,16
Statistik Pusat,1
Perizinan Bidang Energi dan Sumber Daya Mineral,1
Jaringan Listrik,3214
Sampah,3639
Parkir Liar,4494
Rumah Potong Hewan,11
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),1381
Keluhan Fasilitas Gedung Pemda (sekolah/kantor),2675
Tata Ruang dan Bangunan,1069
Gangguan dan Kebisingan,2657
Keluhan Pelayanan,1270
Keluhan Galian/Sisa Proyek,209
Kawasan Dilarang Merokok,1981
Lokasi PKL Binaan,200
Jaringan/Menara Telekomunikasi,349
Rusun/Hunian Vertikal,239
Perizinan,1367
Konflik Sosial,81
PMKS (Penyandang Masalah Kesejahteraan Sosial),185
PKL Liar,1234
Satwa Liar,73
Jembatan/JPO/Halte,384
Pertanahan,104
Reklame/Spanduk,924
Pencemaran Lingkungan,416
PDAM/PAM,413
Perdagangan/UMKM,56
Taman,315
Tutup Saluran,444
Pelayanan Kesehatan,221
Hubungan Kepegawaian,59
Hubungan Pekerja-Pengusaha,114
Kegiatan dan Kurikulum Pendidikan,62
Perlengkapan Lalu Lintas,640
Fasilitas dan Layanan Olahraga,112
Layanan Administrasi Kependudukan Orang Asing,17
Demam Berdarah Dengue (DBD),40
Jak Wifi,28
Layanan Administrasi Kependudukan,71
KTP-el,66
BPJS Kesehatan/KIS,26
TPU (Tempat Pemakaman Umum),75
Pajak Bumi dan Bangunan (PBB)/BPHTB,66
Perilaku Peserta Didik,3
Lembaga/Organisasi Kemasyarakatan,41
Fasilitasi Kerjasama/Kolaborasi Pemda DKI,161
RPTRA,52
Guru/Pendidik dan Tenaga Kependidikan,41
Pengolahan Ikan,2
Orang Hilang,6
Perpustakaan dan Kearsipan,9
PAUD (Pendidikan Anak Usia Dini),3
Sanitasi dan Kesehatan Pangan,7
Pendaftaran (PPDB),25
Keluhan Bahan Pokok,4
